label
1. Dog
1. loud
11. Car
14. Election
16. train ticket
19. House
2. Death
2. quiet
23. Court
28. Store or Shop
28. Window
3. happy
34. Pen
35. Bank
37. Hat
4. Bird
40. I
40. Paint
42. T-Shirt
44. Shoes
44. it
46. you (plural)
47. Red
48. Hello
5. Cow
51. Good Morning
53. Fan
54. Black
54. Cell phone
55. Thank you
55. White
61. Father
61. Summer
64. Fall
66. Brother
67. Monday
77. Boy
78. Girl
78. Year
78. long
79. short
83. big large
84. Teacher
84. small little
86. Time
87. hot
91. Priest
91. new
94. good
97. dry
